model,dataset,lexicalsimilarity,maximumsequenceprobability,montecarlosequenceentropy,sar,semanticentropy
llama3,ambig_qa,77.59,74.21,73.78,79.01,75.04
llama3,coqa,72.26,71.83,72.25,72.8,72.79
llama3,sciq,76.44,74.69,74.96,76.63,75.53
llama3,simple_qa,66.45,64.9,69.32,70.06,68.32
llama3,squad,81.26,79.51,81.87,82.06,81.27
llama3,trivia_qa,86.29,83.74,83.37,87.18,84.29
llama3,truthful_qa,66.24,65.24,63.46,68.17,63.73
llama3,tydiqa,76.97,76.74,76.43,77.39,76.73
mistral_7,coqa,71.7,71.88,73.26,72.5,73.48
mistral_7,simple_qa,63.53,64.74,65.16,63.5,65.13
mistral_7,trivia_qa,74.52,69.95,68.95,79.49,70.62
mistral_7,truthful_qa,69.43,58.42,58.8,71.08,60.57
opt,ambig_qa,45.0,70.0,45.0,55.0,30.0
opt,coqa,68.25,73.87,60.33,70.8,61.53
opt,sciq,65.59,73.24,61.78,66.63,59.63
opt,trivia_qa,75.1,78.9,62.49,76.53,62.78
opt,truthful_qa,57.24,53.79,44.56,63.7,46.29
qwen,ambig_qa,76.06,75.98,76.21,78.9,76.38
qwen,coqa,70.95,70.46,71.54,72.62,72.52
qwen,sciq,68.96,66.21,67.85,71.07,67.92
qwen,simple_qa,61.76,62.38,66.25,67.89,65.53
qwen,squad,76.0,73.43,74.43,76.06,74.66
qwen,trivia_qa,82.33,81.17,80.83,83.88,81.64
qwen,truthful_qa,66.48,66.81,68.53,67.86,69.29
qwen,tydiqa,70.81,72.4,72.34,72.93,72.58
qwen14b,ambig_qa,71.64,69.76,69.16,73.8,70.77
qwen14b,sciq,48.85,48.28,51.76,55.71,46.7
qwen14b,simple_qa,61.92,58.84,61.57,64.48,60.09
qwen14b,squad,69.76,70.31,70.93,70.6,70.71
qwen14b,trivia_qa,77.89,76.89,76.4,81.62,77.95
qwen14b,truthful_qa,70.78,69.2,70.02,70.12,69.24
qwen14b,tydiqa,68.84,71.0,71.49,70.46,71.78
